incidentid,priority,cars,length,backlog,location,epoch
1,4,1,33,31,952,1640999775
2,5,1,57,34,341,1640999907
3,3,2,58,22,400,1641000752
4,5,1,34,47,1434,1641000956
5,5,1,46,24,6,1641001586
6,4,1,44,32,580,1641003835
7,5,1,27,38,478,1641005233
8,4,1,48,40,168,1641005352
9,5,1,65,36,1134,1641006067
10,3,1,37,33,1506,1641006444
11,4,1,56,53,1438,1641007649
12,4,1,26,32,952,1641007979
13,3,1,34,27,1124,1641008080
14,3,1,51,40,44,1641008178
15,5,1,52,43,1136,1641009495
16,5,1,32,35,963,1641009897
17,4,1,59,25,73,1641009975
18,4,1,72,26,830,1641010417
19,4,1,67,31,755,1641010422
20,5,1,44,25,1080,1641010827
21,2,1,53,37,1258,1641011043
22,4,1,43,12,406,1641011219
23,4,1,38,23,817,1641011518
24,4,2,47,15,530,1641011671
25,4,1,26,29,754,1641011914
26,5,1,59,36,259,1641012181
27,5,1,55,16,398,1641012961
28,5,1,42,30,1457,1641013405
29,3,1,66,40,251,1641013661
30,4,2,43,26,272,1641013817
31,4,1,39,23,1312,1641014364
32,3,1,45,42,180,1641014458
33,4,1,56,44,910,1641014473
34,4,6,30,19,1497,1641014476
35,4,2,64,31,191,1641014622
36,5,1,34,31,851,1641014630
37,3,1,69,23,124,1641015025
38,4,1,39,30,122,1641015650
39,4,1,49,22,712,1641015690
40,5,1,50,46,852,1641015743
41,5,1,46,23,1059,1641016348
42,4,1,52,49,1002,1641016371
43,4,1,83,8,1015,1641016428
44,5,4,50,27,169,1641016444
45,5,1,35,22,622,1641016634
46,3,1,27,42,180,1641016660
47,5,2,7,25,1019,1641016701
48,3,1,60,23,1419,1641016812
49,4,1,33,33,1031,1641017011
50,4,1,60,23,346,1641017182
51,5,2,45,30,1014,1641017463
52,4,2,63,21,1223,1641017832
53,5,1,26,27,981,1641017862
54,5,1,43,41,284,1641017915
55,5,1,27,32,724,1641017959
56,2,1,45,45,207,1641018002
57,5,2,53,39,1151,1641018021
58,4,2,55,29,573,1641018052
59,4,1,50,34,700,1641018074
60,4,1,52,42,823,1641018094
61,3,1,33,26,946,1641018181
62,4,1,36,39,698,1641018244
63,4,1,53,28,1144,1641018279
64,4,1,33,44,1044,1641018291
65,5,1,49,29,41,1641018542
66,3,1,73,34,259,1641018549
67,5,2,33,30,772,1641018797
68,1,1,39,13,823,1641018837
69,5,1,54,42,568,1641018894
70,4,1,54,39,1158,1641018968
71,5,1,17,23,1138,1641019132
72,3,4,49,38,320,1641019180
73,5,1,38,20,503,1641019181
74,5,1,61,34,1404,1641019214
75,5,1,52,29,1112,1641019384
76,4,1,67,36,404,1641019398
77,3,1,36,36,1002,1641019537
78,3,3,39,20,1439,1641019570
79,5,1,45,41,1196,1641019680
80,3,1,48,33,36,1641019680
81,5,2,21,33,612,1641019747
82,2,1,34,19,1487,1641019768
83,5,1,22,22,1503,1641019806
84,4,1,57,40,1353,1641019960
85,5,2,46,28,1034,1641019964
86,4,2,39,15,771,1641020103
87,5,1,32,25,767,1641020206
88,5,1,27,21,371,1641020487
89,4,2,41,44,193,1641020493
90,5,1,32,5,789,1641020531
91,3,1,58,30,661,1641020919
92,4,2,38,16,755,1641021004
93,5,1,42,31,1194,1641021177
94,5,1,33,34,1009,1641021229
95,5,2,31,19,333,1641021467
96,5,1,46,41,147,1641021518
97,2,1,62,17,545,1641021671
98,4,1,51,23,411,1641021750
99,3,1,27,29,536,1641021859
100,4,2,38,23,985,1641021886
101,4,2,78,27,1417,1641022078
102,5,1,28,40,1088,1641022091
103,4,1,12,32,663,1641022110
104,5,1,59,24,966,1641022120
105,5,1,38,8,1382,1641022302
106,3,1,32,41,293,1641022338
107,5,2,52,45,1113,1641022406
108,4,1,55,17,435,1641022453
109,3,3,30,30,1480,1641022502
110,4,1,64,30,1179,1641022569
111,4,3,26,35,1252,1641022580
112,5,1,55,27,1346,1641022600
113,1,1,32,34,1309,1641022717
114,3,1,53,17,540,1641022825
115,5,1,57,21,1494,1641022865
116,3,1,55,31,912,1641022932
117,4,1,41,27,14,1641022936
118,5,1,53,56,1153,1641023084
119,4,1,42,33,313,1641023117
120,4,1,60,27,149,1641023163
121,5,2,45,26,673,1641023396
122,3,1,61,35,67,1641023484
123,1,1,46,49,1309,1641023497
124,5,2,19,42,512,1641023519
125,4,1,76,40,85,1641023608
126,4,1,38,20,712,1641023714
127,5,2,55,21,1094,1641023770
128,5,2,36,37,581,1641023835
129,5,1,42,28,1456,1641023868
130,4,2,50,33,901,1641024051
131,2,1,20,43,1205,1641024056
132,5,1,26,27,1205,1641024073
133,4,1,46,44,1274,1641024097
134,4,3,22,25,68,1641024103
135,4,1,61,7,504,1641024122
136,4,1,21,34,707,1641024151
137,2,1,53,29,489,1641024195
138,4,1,35,27,395,1641024198
139,1,1,56,51,1090,1641024238
140,4,1,72,21,1202,1641024290
141,4,1,34,53,1438,1641024313
142,4,1,70,18,42,1641024509
143,4,3,53,41,1014,1641024550
144,4,1,90,35,99,1641024597
145,5,2,34,17,970,1641024615
146,5,1,53,33,817,1641024630
147,5,1,44,48,810,1641024690
148,4,1,52,33,1411,1641024808
149,5,1,34,30,956,1641024829
150,3,1,51,35,914,1641024839
151,3,2,32,45,1424,1641024888
152,5,1,70,32,529,1641024908
153,4,2,73,29,24,1641024989
154,5,2,62,53,1438,1641025056
155,5,3,63,6,1076,1641025070
156,5,1,62,30,480,1641025086
157,4,1,34,26,555,1641025120
158,3,1,14,51,196,1641025161
159,3,1,26,19,1232,1641025340
160,5,1,28,21,782,1641025480
161,4,1,45,23,283,1641025489
162,4,3,47,23,201,1641025543
163,3,1,28,43,1420,1641025608
164,4,1,35,22,921,1641025628
165,5,2,35,43,544,1641025628
166,2,2,26,30,978,1641025751
167,4,1,26,22,912,1641025859
168,3,1,45,39,173,1641025909
169,4,1,66,32,943,1641025991
170,5,2,45,51,790,1641026113
171,4,1,46,30,433,1641026215
172,5,1,42,36,1504,1641026264
173,3,1,56,29,1015,1641026434
174,3,2,39,33,1465,1641026471
175,4,1,45,27,695,1641026472
176,3,1,33,14,487,1641026523
177,4,2,45,11,1268,1641026538
178,5,1,57,41,1352,1641026558
179,5,1,42,23,694,1641026587
180,1,1,53,33,974,1641026595
