incidentid,priority,cars,length,backlog,location,epoch
1,4,1,56,31,925,1640910526
2,4,1,46,17,319,1640912557
3,5,1,61,45,476,1640913025
4,5,1,27,54,1410,1640915803
5,4,2,45,32,450,1640919525
6,4,2,40,8,325,1640920409
7,4,1,34,20,861,1640921712
8,5,1,58,27,154,1640922270
9,5,1,47,38,761,1640922830
10,5,1,39,35,248,1640922972
11,5,1,63,40,1389,1640923277
12,5,1,57,22,1507,1640923326
13,4,4,55,29,652,1640923332
14,4,2,42,29,645,1640923689
15,2,1,51,21,193,1640924194
16,4,1,35,31,385,1640924989
17,2,1,61,40,197,1640925399
18,5,1,22,31,816,1640925490
19,4,1,36,23,934,1640925498
20,5,1,55,21,523,1640925848
21,4,1,62,33,775,1640926580
22,3,1,51,32,524,1640926870
23,5,1,36,45,43,1640927120
24,2,1,22,25,81,1640927829
25,3,1,56,37,488,1640928110
26,4,1,37,28,908,1640928157
27,4,3,34,25,951,1640928277
28,5,1,58,40,1392,1640928675
29,4,1,36,36,18,1640928860
30,4,1,51,13,857,1640929041
31,3,1,45,52,446,1640929900
32,3,1,37,25,1187,1640930165
33,5,1,40,11,757,1640930244
34,4,1,39,30,288,1640930272
35,4,3,49,46,69,1640930834
36,5,1,48,34,267,1640931328
37,4,3,33,16,1154,1640931426
38,3,2,62,36,18,1640931551
39,3,1,49,39,609,1640931873
40,3,1,56,27,1024,1640932000
41,1,1,32,5,210,1640932262
42,5,2,28,27,68,1640932340
43,5,2,41,28,1265,1640932553
44,4,1,33,25,1404,1640932615
45,4,1,47,26,241,1640932643
46,3,1,41,35,149,1640932855
47,4,1,67,25,1133,1640932940
48,5,1,38,22,649,1640932997
49,5,2,39,19,185,1640933001
50,5,1,48,41,1252,1640933019
51,4,1,15,20,1181,1640933569
52,4,3,63,15,207,1640933794
53,5,1,34,20,843,1640933887
54,2,4,74,36,380,1640934099
55,5,1,67,26,304,1640934167
56,4,1,30,25,928,1640934206
57,5,2,32,19,1363,1640934473
58,4,2,51,15,1451,1640934480
59,2,2,55,18,1462,1640934503
60,5,1,52,26,1456,1640934639
61,2,1,33,33,497,1640934785
62,5,1,9,34,674,1640934962
63,2,1,34,41,1268,1640935220
64,4,2,38,35,284,1640935229
65,5,2,76,6,471,1640935259
66,4,1,48,31,1168,1640935536
67,4,1,34,22,212,1640935720
68,5,4,68,35,1019,1640935811
69,4,2,38,29,532,1640936168
70,1,2,41,31,801,1640936204
71,3,2,43,20,1163,1640936213
72,5,2,28,33,826,1640936502
73,3,1,18,44,186,1640936646
74,4,1,59,22,255,1640936721
75,3,2,57,22,1310,1640936893
76,4,1,68,46,598,1640937164
77,2,1,97,33,80,1640937242
78,5,2,7,17,1378,1640937249
79,4,1,23,26,448,1640937325
80,4,2,16,17,1502,1640937354
81,4,2,57,26,648,1640937364
82,5,1,77,48,733,1640937461
83,5,1,65,41,1000,1640937619
84,5,2,41,27,1349,1640937810
85,5,2,40,19,1040,1640937861
86,3,1,74,32,141,1640937932
87,5,2,27,30,887,1640937962
88,3,2,68,30,1502,1640937965
89,4,1,26,44,1183,1640938086
90,5,1,70,24,625,1640938332
91,3,1,29,17,41,1640938378
92,4,1,24,46,218,1640938390
93,5,1,36,39,173,1640938650
94,4,1,42,41,784,1640938738
95,5,1,34,24,154,1640938993
96,5,1,51,40,423,1640939267
97,5,1,66,40,799,1640939338
98,4,1,34,20,990,1640939377
99,4,1,42,36,245,1640939538
100,4,1,44,19,1175,1640939540
101,5,1,49,29,171,1640939680
102,5,1,36,28,657,1640939806
103,5,1,43,48,949,1640939861
104,3,2,48,26,262,1640939979
105,4,2,88,33,1124,1640940009
106,2,1,59,23,1305,1640940110
107,3,1,43,21,772,1640940217
108,5,2,78,28,729,1640940236
109,4,1,63,38,1248,1640940446
110,3,2,65,37,41,1640941028
111,5,3,57,31,131,1640941417
112,4,4,79,49,1112,1640941578
113,5,1,33,25,341,1640941627
114,4,3,45,12,1159,1640941673
115,4,1,54,51,644,1640941815
116,4,1,65,26,14,1640941937
117,3,1,38,14,888,1640942042
118,4,2,63,36,445,1640942088
119,4,2,44,14,907,1640942128
120,5,1,41,27,420,1640942303
121,3,1,46,22,1446,1640942319
122,4,1,50,47,1194,1640942476
123,5,1,52,43,641,1640942544
124,4,1,42,41,1503,1640942579
125,4,2,30,25,1476,1640942596
126,3,1,23,29,768,1640943015
127,2,1,47,17,1055,1640943149
128,4,3,63,16,1353,1640943154
129,3,2,22,27,595,1640943218
130,4,1,22,26,550,1640943275
131,4,1,39,34,709,1640943275
132,4,1,75,24,363,1640943380
133,4,1,78,20,1021,1640943392
134,4,1,27,48,109,1640943595
135,4,1,51,40,462,1640943644
136,5,2,57,45,595,1640943761
137,4,1,50,42,543,1640943785
138,5,3,45,34,528,1640943864
139,3,1,68,42,34,1640943873
140,3,1,72,22,964,1640943879
141,4,1,27,37,1284,1640943952
142,4,1,53,35,186,1640944034
143,5,1,42,38,942,1640944170
144,3,1,39,23,297,1640944268
145,5,1,43,29,86,1640944374
146,4,2,39,21,1249,1640944517
147,4,1,45,29,1417,1640944526
148,5,1,23,14,1323,1640944817
149,4,1,53,31,775,1640944827
150,4,1,33,26,1485,1640944841
151,4,1,34,27,180,1640944893
152,5,1,62,6,1165,1640944995
153,2,1,31,41,553,1640945022
154,5,1,38,42,86,1640945024
155,5,1,33,30,1450,1640945045
156,1,1,67,32,384,1640945089
157,4,1,51,47,782,1640945144
158,5,1,64,23,1089,1640945145
159,4,1,47,40,256,1640945299
160,3,1,43,47,292,1640945307
161,5,1,39,49,892,1640945330
162,5,1,32,19,722,1640945349
163,1,3,47,13,548,1640945642
164,3,1,75,38,272,1640945747
165,5,1,44,28,1062,1640945799
166,4,1,33,59,69,1640945862
167,4,1,57,43,510,1640945932
168,5,1,40,21,854,1640946053
169,4,1,45,31,1311,1640946113
170,4,2,7,20,429,1640946162
171,5,1,57,28,33,1640946206
172,5,1,37,25,830,1640946211
