index,location,shape
1.0,547.0,Polygon(7 Points)
2.0,363.0,Polygon(7 Points)
3.0,363.0,Polygon(7 Points)
4.0,363.0,Polygon(7 Points)
5.0,363.0,Polygon(7 Points)
6.0,363.0,Polygon(7 Points)
7.0,363.0,Polygon(7 Points)
8.0,363.0,Polygon(7 Points)
9.0,363.0,Polygon(7 Points)
10.0,363.0,Polygon(7 Points)
11.0,363.0,Polygon(7 Points)
12.0,363.0,Polygon(7 Points)
13.0,363.0,Polygon(7 Points)
14.0,363.0,Polygon(7 Points)
15.0,363.0,Polygon(7 Points)
16.0,363.0,Polygon(7 Points)
17.0,363.0,Polygon(7 Points)
18.0,363.0,Polygon(7 Points)
19.0,363.0,Polygon(7 Points)
20.0,363.0,Polygon(7 Points)
21.0,363.0,Polygon(7 Points)
22.0,363.0,Polygon(7 Points)
23.0,363.0,Polygon(7 Points)
24.0,363.0,Polygon(7 Points)
25.0,363.0,Polygon(7 Points)
26.0,363.0,Polygon(7 Points)
27.0,547.0,Polygon(7 Points)
28.0,363.0,Polygon(7 Points)
29.0,363.0,Polygon(7 Points)
30.0,363.0,Polygon(7 Points)
31.0,363.0,Polygon(7 Points)
32.0,363.0,Polygon(7 Points)
33.0,363.0,Polygon(7 Points)
34.0,363.0,Polygon(7 Points)
35.0,363.0,Polygon(7 Points)
36.0,363.0,Polygon(7 Points)
37.0,363.0,Polygon(7 Points)
38.0,363.0,Polygon(7 Points)
39.0,363.0,Polygon(7 Points)
40.0,363.0,Polygon(7 Points)
41.0,363.0,Polygon(7 Points)
42.0,363.0,Polygon(7 Points)
43.0,363.0,Polygon(7 Points)
44.0,363.0,Polygon(7 Points)
45.0,363.0,Polygon(7 Points)
46.0,363.0,Polygon(7 Points)
47.0,363.0,Polygon(7 Points)
48.0,363.0,Polygon(7 Points)
49.0,363.0,Polygon(7 Points)
50.0,363.0,Polygon(7 Points)
51.0,363.0,Polygon(7 Points)
52.0,363.0,Polygon(7 Points)
53.0,547.0,Polygon(7 Points)
54.0,547.0,Polygon(7 Points)
55.0,363.0,Polygon(7 Points)
56.0,363.0,Polygon(7 Points)
57.0,363.0,Polygon(7 Points)
58.0,363.0,Polygon(7 Points)
59.0,363.0,Polygon(7 Points)
60.0,363.0,Polygon(7 Points)
61.0,363.0,Polygon(7 Points)
62.0,363.0,Polygon(7 Points)
63.0,363.0,Polygon(7 Points)
64.0,363.0,Polygon(7 Points)
65.0,363.0,Polygon(7 Points)
66.0,363.0,Polygon(7 Points)
67.0,363.0,Polygon(7 Points)
68.0,363.0,Polygon(7 Points)
69.0,363.0,Polygon(7 Points)
70.0,363.0,Polygon(7 Points)
71.0,363.0,Polygon(7 Points)
72.0,363.0,Polygon(7 Points)
73.0,363.0,Polygon(7 Points)
74.0,363.0,Polygon(7 Points)
75.0,363.0,Polygon(7 Points)
76.0,363.0,Polygon(7 Points)
77.0,363.0,Polygon(7 Points)
78.0,363.0,Polygon(7 Points)
79.0,547.0,Polygon(7 Points)
80.0,363.0,Polygon(7 Points)
81.0,363.0,Polygon(7 Points)
82.0,363.0,Polygon(7 Points)
83.0,363.0,Polygon(7 Points)
84.0,363.0,Polygon(7 Points)
85.0,363.0,Polygon(7 Points)
86.0,363.0,Polygon(7 Points)
87.0,363.0,Polygon(7 Points)
88.0,363.0,Polygon(7 Points)
89.0,363.0,Polygon(7 Points)
90.0,363.0,Polygon(7 Points)
91.0,363.0,Polygon(7 Points)
92.0,363.0,Polygon(7 Points)
93.0,363.0,Polygon(7 Points)
94.0,363.0,Polygon(7 Points)
95.0,363.0,Polygon(7 Points)
96.0,363.0,Polygon(7 Points)
97.0,363.0,Polygon(7 Points)
98.0,363.0,Polygon(7 Points)
99.0,363.0,Polygon(7 Points)
100.0,363.0,Polygon(7 Points)
101.0,363.0,Polygon(7 Points)
102.0,363.0,Polygon(7 Points)
103.0,363.0,Polygon(7 Points)
104.0,363.0,Polygon(7 Points)
105.0,547.0,Polygon(7 Points)
106.0,547.0,Polygon(7 Points)
107.0,363.0,Polygon(7 Points)
108.0,363.0,Polygon(7 Points)
109.0,363.0,Polygon(7 Points)
110.0,363.0,Polygon(7 Points)
111.0,363.0,Polygon(7 Points)
112.0,363.0,Polygon(7 Points)
113.0,363.0,Polygon(7 Points)
114.0,363.0,Polygon(7 Points)
115.0,363.0,Polygon(7 Points)
116.0,363.0,Polygon(7 Points)
117.0,363.0,Polygon(7 Points)
118.0,363.0,Polygon(7 Points)
119.0,363.0,Polygon(7 Points)
120.0,363.0,Polygon(7 Points)
121.0,363.0,Polygon(7 Points)
122.0,363.0,Polygon(7 Points)
123.0,363.0,Polygon(7 Points)
124.0,363.0,Polygon(7 Points)
125.0,363.0,Polygon(7 Points)
126.0,363.0,Polygon(7 Points)
127.0,363.0,Polygon(7 Points)
128.0,363.0,Polygon(7 Points)
129.0,363.0,Polygon(7 Points)
130.0,363.0,Polygon(7 Points)
131.0,547.0,Polygon(7 Points)
132.0,547.0,Polygon(7 Points)
133.0,363.0,Polygon(7 Points)
134.0,363.0,Polygon(7 Points)
135.0,363.0,Polygon(7 Points)
136.0,363.0,Polygon(7 Points)
137.0,363.0,Polygon(7 Points)
138.0,363.0,Polygon(7 Points)
139.0,363.0,Polygon(7 Points)
140.0,363.0,Polygon(7 Points)
141.0,363.0,Polygon(7 Points)
