index,location
1.0,236.0
2.0,236.0
3.0,236.0
4.0,236.0
5.0,236.0
6.0,236.0
7.0,236.0
8.0,236.0
9.0,163.0
10.0,163.0
11.0,163.0
12.0,163.0
13.0,163.0
14.0,163.0
15.0,163.0
16.0,163.0
17.0,163.0
18.0,163.0
19.0,163.0
20.0,163.0
21.0,163.0
22.0,236.0
23.0,236.0
24.0,236.0
25.0,236.0
26.0,236.0
27.0,236.0
28.0,236.0
29.0,236.0
30.0,163.0
31.0,163.0
32.0,163.0
33.0,163.0
34.0,163.0
35.0,163.0
36.0,163.0
37.0,163.0
38.0,163.0
39.0,163.0
40.0,163.0
41.0,163.0
42.0,163.0
43.0,236.0
44.0,236.0
45.0,236.0
46.0,236.0
47.0,236.0
48.0,236.0
49.0,236.0
50.0,236.0
51.0,236.0
52.0,163.0
53.0,163.0
54.0,163.0
55.0,163.0
56.0,163.0
57.0,163.0
58.0,163.0
59.0,163.0
60.0,163.0
61.0,163.0
62.0,163.0
63.0,163.0
64.0,236.0
65.0,236.0
66.0,236.0
67.0,236.0
68.0,236.0
69.0,236.0
70.0,236.0
71.0,236.0
72.0,163.0
73.0,163.0
74.0,163.0
75.0,163.0
76.0,163.0
77.0,163.0
78.0,163.0
79.0,163.0
80.0,163.0
81.0,163.0
82.0,163.0
83.0,163.0
84.0,163.0
85.0,236.0
86.0,236.0
87.0,236.0
88.0,236.0
89.0,236.0
90.0,236.0
91.0,236.0
92.0,236.0
93.0,236.0
94.0,163.0
95.0,163.0
96.0,163.0
97.0,163.0
98.0,163.0
99.0,163.0
100.0,163.0
101.0,163.0
102.0,163.0
103.0,163.0
104.0,163.0
105.0,163.0
106.0,236.0
107.0,236.0
108.0,236.0
109.0,236.0
110.0,236.0
111.0,236.0
112.0,236.0
113.0,236.0
114.0,236.0
115.0,163.0
116.0,163.0
117.0,163.0
118.0,163.0
119.0,163.0
120.0,163.0
121.0,163.0
122.0,163.0
123.0,163.0
124.0,163.0
125.0,163.0
126.0,163.0
127.0,236.0
128.0,236.0
129.0,236.0
130.0,236.0
131.0,236.0
132.0,236.0
133.0,236.0
134.0,236.0
135.0,236.0
136.0,236.0
137.0,163.0
138.0,163.0
139.0,163.0
140.0,163.0
141.0,163.0
142.0,163.0
143.0,163.0
144.0,163.0
145.0,163.0
146.0,163.0
147.0,163.0
148.0,236.0
149.0,236.0
150.0,236.0
151.0,236.0
152.0,236.0
153.0,236.0
154.0,236.0
155.0,236.0
156.0,236.0
157.0,163.0
158.0,163.0
159.0,163.0
160.0,163.0
161.0,163.0
162.0,163.0
163.0,163.0
164.0,163.0
165.0,163.0
166.0,163.0
167.0,163.0
168.0,163.0
169.0,236.0
170.0,236.0
171.0,236.0
172.0,236.0
173.0,236.0
174.0,236.0
175.0,236.0
176.0,236.0
177.0,236.0
178.0,236.0
179.0,163.0
180.0,163.0
181.0,163.0
182.0,163.0
183.0,163.0
184.0,163.0
185.0,163.0
186.0,163.0
187.0,163.0
188.0,163.0
189.0,163.0
190.0,236.0
191.0,236.0
192.0,236.0
193.0,236.0
194.0,236.0
195.0,236.0
196.0,236.0
197.0,236.0
198.0,236.0
199.0,236.0
200.0,163.0
201.0,163.0
202.0,163.0
203.0,163.0
204.0,163.0
205.0,163.0
206.0,163.0
207.0,163.0
208.0,163.0
209.0,163.0
210.0,163.0
211.0,236.0
212.0,236.0
213.0,236.0
214.0,236.0
215.0,236.0
216.0,236.0
217.0,236.0
218.0,236.0
219.0,236.0
220.0,236.0
221.0,236.0
222.0,163.0
223.0,163.0
224.0,163.0
225.0,163.0
226.0,163.0
227.0,163.0
228.0,163.0
229.0,163.0
230.0,163.0
231.0,163.0
232.0,236.0
233.0,236.0
234.0,236.0
235.0,236.0
236.0,236.0
237.0,236.0
238.0,236.0
239.0,236.0
240.0,236.0
241.0,236.0
242.0,236.0
243.0,163.0
244.0,163.0
245.0,163.0
246.0,163.0
247.0,163.0
248.0,163.0
249.0,163.0
250.0,163.0
251.0,163.0
252.0,163.0
253.0,236.0
254.0,236.0
255.0,236.0
256.0,236.0
257.0,236.0
258.0,236.0
259.0,236.0
260.0,236.0
261.0,236.0
262.0,236.0
263.0,236.0
264.0,163.0
265.0,163.0
266.0,163.0
267.0,163.0
268.0,163.0
269.0,163.0
270.0,163.0
271.0,163.0
272.0,163.0
273.0,163.0
274.0,236.0
275.0,236.0
276.0,236.0
277.0,236.0
278.0,236.0
279.0,236.0
280.0,236.0
281.0,236.0
282.0,236.0
283.0,236.0
284.0,236.0
285.0,163.0
286.0,163.0
287.0,163.0
288.0,163.0
289.0,163.0
290.0,163.0
291.0,163.0
292.0,163.0
293.0,163.0
294.0,163.0
295.0,236.0
296.0,236.0
297.0,236.0
298.0,236.0
299.0,236.0
300.0,236.0
301.0,236.0
302.0,236.0
303.0,236.0
304.0,236.0
305.0,236.0
306.0,236.0
307.0,163.0
308.0,163.0
309.0,163.0
310.0,163.0
311.0,163.0
312.0,163.0
313.0,163.0
314.0,163.0
315.0,163.0
316.0,236.0
317.0,236.0
318.0,236.0
319.0,236.0
320.0,236.0
321.0,236.0
322.0,236.0
323.0,236.0
324.0,236.0
325.0,236.0
326.0,236.0
327.0,236.0
328.0,163.0
329.0,163.0
330.0,163.0
331.0,163.0
332.0,163.0
333.0,163.0
334.0,163.0
335.0,163.0
336.0,163.0
337.0,236.0
338.0,236.0
339.0,236.0
340.0,236.0
341.0,236.0
342.0,236.0
343.0,236.0
344.0,236.0
345.0,236.0
346.0,236.0
347.0,236.0
348.0,519.0
349.0,519.0
350.0,519.0
351.0,519.0
352.0,519.0
353.0,519.0
354.0,519.0
355.0,519.0
356.0,519.0
357.0,163.0
358.0,236.0
359.0,236.0
360.0,236.0
361.0,236.0
362.0,236.0
363.0,236.0
364.0,236.0
365.0,236.0
366.0,236.0
367.0,236.0
368.0,519.0
369.0,519.0
370.0,519.0
371.0,519.0
372.0,519.0
373.0,519.0
374.0,519.0
375.0,519.0
376.0,519.0
377.0,519.0
378.0,519.0
379.0,236.0
380.0,236.0
381.0,236.0
382.0,236.0
383.0,236.0
384.0,236.0
385.0,236.0
386.0,236.0
387.0,236.0
388.0,519.0
389.0,519.0
390.0,519.0
391.0,519.0
392.0,519.0
393.0,519.0
394.0,519.0
395.0,519.0
396.0,519.0
397.0,519.0
398.0,519.0
399.0,519.0
400.0,236.0
401.0,236.0
402.0,236.0
403.0,236.0
404.0,236.0
405.0,236.0
406.0,236.0
407.0,236.0
408.0,519.0
409.0,519.0
410.0,519.0
411.0,519.0
412.0,519.0
413.0,519.0
414.0,519.0
415.0,519.0
416.0,519.0
417.0,519.0
418.0,519.0
419.0,519.0
420.0,519.0
421.0,236.0
422.0,236.0
423.0,236.0
424.0,236.0
425.0,236.0
426.0,236.0
427.0,236.0
428.0,519.0
429.0,519.0
430.0,519.0
431.0,519.0
432.0,519.0
433.0,519.0
434.0,519.0
435.0,519.0
436.0,519.0
437.0,519.0
438.0,519.0
439.0,519.0
440.0,519.0
441.0,519.0
442.0,236.0
443.0,236.0
444.0,236.0
445.0,236.0
446.0,236.0
447.0,236.0
448.0,519.0
449.0,519.0
450.0,519.0
451.0,519.0
452.0,519.0
453.0,519.0
454.0,519.0
455.0,519.0
456.0,519.0
457.0,519.0
458.0,519.0
459.0,519.0
460.0,519.0
461.0,519.0
462.0,519.0
463.0,236.0
464.0,236.0
465.0,236.0
466.0,236.0
467.0,236.0
468.0,519.0
469.0,519.0
470.0,519.0
471.0,519.0
472.0,519.0
473.0,519.0
474.0,519.0
475.0,519.0
476.0,519.0
477.0,519.0
478.0,519.0
479.0,519.0
480.0,519.0
481.0,519.0
482.0,519.0
483.0,519.0
484.0,236.0
485.0,236.0
486.0,236.0
487.0,236.0
488.0,519.0
489.0,519.0
490.0,519.0
491.0,519.0
492.0,519.0
493.0,519.0
494.0,519.0
495.0,519.0
496.0,519.0
497.0,519.0
498.0,519.0
499.0,519.0
500.0,519.0
501.0,519.0
502.0,519.0
503.0,519.0
504.0,519.0
505.0,740.0
506.0,740.0
507.0,740.0
508.0,740.0
509.0,740.0
510.0,519.0
511.0,519.0
512.0,519.0
513.0,519.0
514.0,519.0
515.0,519.0
516.0,519.0
517.0,519.0
518.0,519.0
519.0,519.0
520.0,519.0
521.0,519.0
522.0,519.0
523.0,519.0
524.0,519.0
525.0,519.0
526.0,740.0
527.0,740.0
528.0,740.0
